language,year,sentiment,count
ar,2014,negative,2
ar,2014,neutral,117
ar,2014,positive,1
ar,2015,neutral,8
ar,2016,neutral,16
ar,2017,negative,1
ar,2017,neutral,35
ar,2017,positive,1
ar,2018,negative,3
ar,2018,neutral,159
ar,2018,positive,4
ar,2019,negative,3
ar,2019,neutral,171
ar,2019,positive,4
ar,2020,neutral,39
ar,2020,positive,1
ar,2021,negative,21
ar,2021,neutral,838
ar,2021,positive,17
ar,2022,negative,370
ar,2022,neutral,9095
ar,2022,positive,258
ar,2023,negative,263
ar,2023,neutral,3714
ar,2023,positive,191
ar,2024,negative,99
ar,2024,neutral,1285
ar,2024,positive,59
en,2014,negative,188
en,2014,neutral,2038
en,2014,positive,107
en,2015,negative,36
en,2015,neutral,623
en,2015,positive,24
en,2016,negative,7
en,2016,neutral,217
en,2016,positive,9
en,2017,negative,88
en,2017,neutral,1369
en,2017,positive,47
en,2018,negative,74
en,2018,neutral,1259
en,2018,positive,33
en,2019,negative,68
en,2019,neutral,1660
en,2019,positive,58
en,2020,negative,37
en,2020,neutral,540
en,2020,positive,36
en,2021,negative,313
en,2021,neutral,5095
en,2021,positive,213
en,2022,negative,9670
en,2022,neutral,96226
en,2022,positive,4022
en,2023,negative,3067
en,2023,neutral,29580
en,2023,positive,1598
en,2024,negative,1171
en,2024,neutral,10126
en,2024,positive,819
es,2014,negative,8
es,2014,neutral,109
es,2014,positive,3
es,2015,negative,1
es,2015,neutral,20
es,2015,positive,1
es,2016,neutral,12
es,2016,positive,1
es,2017,negative,16
es,2017,neutral,302
es,2017,positive,8
es,2018,negative,33
es,2018,neutral,595
es,2018,positive,25
es,2019,negative,3
es,2019,neutral,428
es,2019,positive,15
es,2020,negative,2
es,2020,neutral,105
es,2021,negative,94
es,2021,neutral,1478
es,2021,positive,28
es,2022,negative,3717
es,2022,neutral,45278
es,2022,positive,1257
es,2023,negative,1189
es,2023,neutral,11300
es,2023,positive,490
es,2024,negative,397
es,2024,neutral,3990
es,2024,positive,220
ru,2014,neutral,61
ru,2015,neutral,35
ru,2015,positive,1
ru,2016,neutral,25
ru,2016,positive,3
ru,2017,negative,1
ru,2017,neutral,97
ru,2017,positive,1
ru,2018,negative,1
ru,2018,neutral,194
ru,2018,positive,9
ru,2019,negative,2
ru,2019,neutral,691
ru,2019,positive,13
ru,2020,negative,3
ru,2020,neutral,448
ru,2020,positive,9
ru,2021,negative,8
ru,2021,neutral,726
ru,2021,positive,14
ru,2022,negative,11
ru,2022,neutral,1809
ru,2022,positive,33
ru,2023,negative,14
ru,2023,neutral,1172
ru,2023,positive,24
ru,2024,negative,6
ru,2024,neutral,668
ru,2024,positive,9
