language,year,sentiment,count
ar,2014,negative,16
ar,2014,neutral,551
ar,2014,positive,9
ar,2015,negative,14
ar,2015,neutral,513
ar,2015,positive,16
ar,2016,negative,34
ar,2016,neutral,1648
ar,2016,positive,42
ar,2017,negative,81
ar,2017,neutral,4547
ar,2017,positive,140
ar,2018,negative,276
ar,2018,neutral,10675
ar,2018,positive,308
ar,2019,negative,210
ar,2019,neutral,11703
ar,2019,positive,371
ar,2020,negative,297
ar,2020,neutral,16096
ar,2020,positive,388
ar,2021,negative,313
ar,2021,neutral,16036
ar,2021,positive,437
ar,2022,negative,995
ar,2022,neutral,34870
ar,2022,positive,824
ar,2023,negative,1035
ar,2023,neutral,22681
ar,2023,positive,665
ar,2024,negative,454
ar,2024,neutral,6985
ar,2024,positive,258
en,2014,negative,243
en,2014,neutral,5689
en,2014,positive,269
en,2015,negative,280
en,2015,neutral,5271
en,2015,positive,255
en,2016,negative,306
en,2016,neutral,8759
en,2016,positive,432
en,2017,negative,2279
en,2017,neutral,48386
en,2017,positive,1583
en,2018,negative,3278
en,2018,neutral,48784
en,2018,positive,1942
en,2019,negative,1649
en,2019,neutral,38563
en,2019,positive,1480
en,2020,negative,1965
en,2020,neutral,49304
en,2020,positive,2226
en,2021,negative,2184
en,2021,neutral,58317
en,2021,positive,2377
en,2022,negative,7331
en,2022,neutral,137518
en,2022,positive,4424
en,2023,negative,4336
en,2023,neutral,75191
en,2023,positive,3130
en,2024,negative,2730
en,2024,neutral,27822
en,2024,positive,1175
es,2014,negative,9
es,2014,neutral,244
es,2014,positive,11
es,2015,negative,26
es,2015,neutral,606
es,2015,positive,14
es,2016,negative,57
es,2016,neutral,1213
es,2016,positive,44
es,2017,negative,570
es,2017,neutral,17271
es,2017,positive,569
es,2018,negative,1741
es,2018,neutral,42318
es,2018,positive,1720
es,2019,negative,496
es,2019,neutral,15777
es,2019,positive,638
es,2020,negative,389
es,2020,neutral,21167
es,2020,positive,867
es,2021,negative,565
es,2021,neutral,23940
es,2021,positive,714
es,2022,negative,2690
es,2022,neutral,61675
es,2022,positive,1550
es,2023,negative,1799
es,2023,neutral,26468
es,2023,positive,802
es,2024,negative,911
es,2024,neutral,11651
es,2024,positive,357
ru,2014,negative,6
ru,2014,neutral,1269
ru,2014,positive,25
ru,2015,negative,5
ru,2015,neutral,1138
ru,2015,positive,22
ru,2016,negative,8
ru,2016,neutral,2923
ru,2016,positive,80
ru,2017,negative,47
ru,2017,neutral,12701
ru,2017,positive,324
ru,2018,negative,70
ru,2018,neutral,20382
ru,2018,positive,461
ru,2019,negative,57
ru,2019,neutral,22288
ru,2019,positive,578
ru,2020,negative,86
ru,2020,neutral,25156
ru,2020,positive,471
ru,2021,negative,143
ru,2021,neutral,38946
ru,2021,positive,864
ru,2022,negative,412
ru,2022,neutral,60188
ru,2022,positive,1075
ru,2023,negative,332
ru,2023,neutral,45195
ru,2023,positive,1120
ru,2024,negative,170
ru,2024,neutral,22431
ru,2024,positive,548
