language,year,sentiment,count
ar,2014,negative,31
ar,2014,neutral,1145
ar,2014,positive,20
ar,2015,negative,15
ar,2015,neutral,578
ar,2015,positive,16
ar,2016,negative,35
ar,2016,neutral,1732
ar,2016,positive,44
ar,2017,negative,86
ar,2017,neutral,4828
ar,2017,positive,145
ar,2018,negative,285
ar,2018,neutral,11485
ar,2018,positive,322
ar,2019,negative,232
ar,2019,neutral,13265
ar,2019,positive,431
ar,2020,negative,331
ar,2020,neutral,17617
ar,2020,positive,438
ar,2021,negative,374
ar,2021,neutral,19332
ar,2021,positive,538
ar,2022,negative,2530
ar,2022,neutral,80029
ar,2022,positive,2195
ar,2023,negative,2499
ar,2023,neutral,44821
ar,2023,positive,1793
ar,2024,negative,874
ar,2024,neutral,13347
ar,2024,positive,607
en,2014,negative,1149
en,2014,neutral,13518
en,2014,positive,752
en,2015,negative,425
en,2015,neutral,7852
en,2015,positive,393
en,2016,negative,363
en,2016,neutral,10062
en,2016,positive,503
en,2017,negative,2671
en,2017,neutral,54921
en,2017,positive,1901
en,2018,negative,3594
en,2018,neutral,54051
en,2018,positive,2176
en,2019,negative,2118
en,2019,neutral,57246
en,2019,positive,3058
en,2020,negative,2400
en,2020,neutral,61118
en,2020,positive,3226
en,2021,negative,3182
en,2021,neutral,79115
en,2021,positive,3782
en,2022,negative,35492
en,2022,neutral,458801
en,2022,positive,33449
en,2023,negative,14118
en,2023,neutral,208120
en,2023,positive,18315
en,2024,negative,6315
en,2024,neutral,71845
en,2024,positive,9864
es,2014,negative,40
es,2014,neutral,683
es,2014,positive,27
es,2015,negative,39
es,2015,neutral,749
es,2015,positive,21
es,2016,negative,63
es,2016,neutral,1291
es,2016,positive,53
es,2017,negative,629
es,2017,neutral,18734
es,2017,positive,627
es,2018,negative,1849
es,2018,neutral,44486
es,2018,positive,1815
es,2019,negative,572
es,2019,neutral,19405
es,2019,positive,837
es,2020,negative,464
es,2020,neutral,23817
es,2020,positive,1039
es,2021,negative,788
es,2021,neutral,28531
es,2021,positive,880
es,2022,negative,13414
es,2022,neutral,197527
es,2022,positive,8836
es,2023,negative,5235
es,2023,neutral,70036
es,2023,positive,3990
es,2024,negative,2010
es,2024,neutral,27014
es,2024,positive,2306
ru,2014,negative,11
ru,2014,neutral,2525
ru,2014,positive,59
ru,2015,negative,10
ru,2015,neutral,2308
ru,2015,positive,51
ru,2016,negative,14
ru,2016,neutral,4946
ru,2016,positive,132
ru,2017,negative,84
ru,2017,neutral,19993
ru,2017,positive,507
ru,2018,negative,180
ru,2018,neutral,32986
ru,2018,positive,717
ru,2019,negative,113
ru,2019,neutral,37889
ru,2019,positive,954
ru,2020,negative,398
ru,2020,neutral,68099
ru,2020,positive,1450
ru,2021,negative,401
ru,2021,neutral,88796
ru,2021,positive,1841
ru,2022,negative,730
ru,2022,neutral,107996
ru,2022,positive,1903
ru,2023,negative,804
ru,2023,neutral,90725
ru,2023,positive,2022
ru,2024,negative,436
ru,2024,neutral,47760
ru,2024,positive,1149
