Country Code,Translation
BG,адаптация към изменението на климата
CS,přizpůsobování se změně klimatu
DA,tilpasning til klimaforandringer
DE,Anpassung an den Klimawandel
EL,προσαρμογή στην κλιματική αλλαγή
ES,adaptación al cambio climático
ET,kliimamuutustega kohanemine
FI,ilmastonmuutokseen sopeutuminen
FR,adaptation au changement climatique
GA,oiriúnú don athrú aeráide
LT,prisitaikymas prie klimato kaitos
LV,pielāgošanās klimata pārmaiņām
MT,adattament għat-tibdil fil-klima
NL,adaptatie aan klimaatverandering
PL,przystosowanie się do zmiany klimatu
PT,adaptação às alterações climáticas
RO,adaptare la schimbările climatice
SK,adaptácia na zmenu klímy
SL,prilagajanje podnebnim spremembam
CS,únik uhlíku
DA,CO2-lækage
DE,Verlagerung von CO2-Emissionen
EL,διαρροή διοξειδίου του άνθρακα
ES,fuga de carbono
ET,süsinikdioksiidi leke
FI,hiilivuoto
FR,fuite de carbone
GA,sceitheadh carbóin
HU,kibocsátásáthelyezés
IT,rilocalizzazione delle emissioni di carbonio
LT,anglies dioksido nutekėjimas
LV,oglekļa dioksīda emisiju pārvirze
MT,rilokazzjoni tal-emissjonijiet ta’ karbonju
NL,koolstoflekkage
PL,ucieczka emisji
PT,fuga de carbono
RO,relocarea emisiilor de dioxid de carbon
SK,únik uhlíka
SL,selitev virov CO2
CS,trh s uhlíkem
DA,CO2-marked
DE,CO2-Markt
EL,αγορά διοξειδίου του άνθρακα
ES,mercado del carbono
ET,CO2-turg
FI,hiilimarkkinat
FR,marché du carbone
GA,margadh carbóin
HU,szén-dioxid-piac
LT,anglies dioksido rinka
LV,oglekļa dioksīda emisiju tirgus
MT,suq tal-karbonju
NL,koolstofmarkt
PL,rynek emisji
PT,mercado do carbono
RO,piaţa carbonului
SK,trh s uhlíkom
SL,trg ogljika
CS,kompenzace za emise CO2
DA,CO2-kompensation
DE,CO2-Gutschrift
EL,αντιστάθμιση των εκπομπών διοξειδίου του άνθρακα
ES,crédito de compensación de emisiones de carbono
ET,süsinikdioksiidi kompensatsioon
FI,päästöjen kompensointi
FR,crédit compensatoire de carbone
GA,cúiteamh carbóin
HU,kibocsátáskompenzációs egység
IT,credito di compensazione delle emissioni di CO2
LV,oglekļa dioksīda emisiju izlīdzināšanas vienība
MT,kreditu kumpensatorju tal-karbonju
NL,CO 2-compensatiecredit
PL,kompensacja emisji
PT,crédito de compensação de carbono
RO,credit de compensare a emisiilor de CO2
SK,kompenzácia emisií CO2
SL,nadomestilo za (izpust) ogljik(-a)
CS,jednotka ověřeného snížení emisí
DA,godkendt emissionsreduktionsenhed
DE,zertifizierte Emissionsreduktionseinheit
EL,πιστοποιημένη μείωση των εκπομπών
ES,unidad de reducción certificada de emisiones
ET,tõendatud heitkoguste vähendamise ühik
FI,sertifioitu päästövähennys
FR,unité de réduction certifiée des émissions
GA,aonad an laghdaithe dheimhnithe ar astaíochtaí
HU,igazolt kibocsátáscsökkentési egység
LT,patvirtintas išmetamųjų teršalų mažinimo vienetas
LV,sertificēta emisijas samazināšanas vienība
MT,unità ta’ tnaqqis iċċertifikat tal-emissjonijiet
NL,gecertificeerde emissiereductie-eenheid
PL,jednostka poświadczonej redukcji emisji
PT,unidade de redução certificada de emissões
RO,reducere de emisii certificată
SK,jednotka certifikovaného zníženia emisií
SL,enota potrjenega zmanjšanja emisij
CS,mechanismus čistého rozvoje
DA,CDM-mekanismen
DE,Mechanismus für umweltverträgliche Entwicklung
EL,μηχανισμός καθαρής ανάπτυξης
ES,Mecanismo de Desarrollo Limpio
ET,puhta arengu mehhanism
FI,puhtaan kehityksen mekanismi
FR,mécanisme pour un développement propre
GA,meicníocht glanfhorbraíochta
HU,tiszta fejlesztési mechanizmus
LT,švarios plėtros mechanizmas
LV,tīras attīstības mehānisms
MT,mekkaniżmu għal żvilupp nadif
NL,mechanisme voor schone ontwikkeling
PL,mechanizm czystego rozwoju
PT,Mecanismo de Desenvolvimento Limpo
RO,mecanism de dezvoltare nepoluantă
SK,mechanizmus čistého rozvoja
SL,mehanizem čistega razvoja
CS,změna klimatu
DA,klimaændringer
DE,Klimawandel
EL,κλιματική αλλαγή αλλαγή του κλίματος
ES,cambio climático
ET,kliimamuutused
FI,ilmastonmuutos
FR,changement climatique
GA,an t-athrú aeráide
HU,éghajlatváltozás
LT,klimato kaita
LV,klimata pārmaiņas
MT,tibdil fil-klima
NL,klimaatverandering
PL,zmiana klimatu
PT,alterações climáticas
RO,schimbări climatice
SK,zmena klímy
SL,podnebne spremembe
CS,zmírňování změny klimatu
DA,modvirkning af klimaændringer
DE,Klimaschutz Mitigation
EL,μετριασμός της κλιματικής αλλαγής
ES,mitigación del cambio climático
ET,kliimamuutuste leevendamine
FI,ilmastonmuutoksen hillitseminen
FR,atténuation des changements climatiques
GA,maolú ar an athrú aeráide
HU,az éghajlatváltozás mérséklése
LT,klimato kaitos švelninimas
LV,klimata pārmaiņu seku mazināšana
MT,mitigazzjoni tat-tibdil fil-klima
NL,mitigatie van klimaatverandering
PL,łagodzenie zmiany klimatu
PT,mitigação das alterações climáticas
RO,atenuarea schimbărilor climatice
SK,zmiernenie zmeny klímy
SL,blažitev podnebnih sprememb
CS,kontrolní období
DA,forpligtelsesperiode
DE,Verpflichtungszeitraum
EL,περίοδος δέσμευσης
ES,período de compromiso
ET,kohustusperiood
FI,velvoitekausi
FR,période d’engagement
GA,tréimhse gealltanais
HU,kötelezettségvállalási időszak
IT,periodo di adempimento
LV,saistību periods
MT,perijodu ta’ impenn
NL,verbintenisperiode
PL,okres rozliczeniowy
PT,período de compromisso período de cumprimento
RO,perioadă de angajament
SK,záväzné obdobie
SL,ciljno obdobje
CS,emisní povolenka
DA,emissionskvote
DE,Emissionszertifikat
EL,δικαίωμα εκπομπής
ES,derechos de emisión
ET,saastekvoot
FI,päästöoikeus
FR,quota d’émission
GA,lamháltas astaíochtaí
HU,kibocsátási egység
LT,apyvartinis taršos leidimas
LV,emisijas kvota
MT,kwota tal-emissjonijiet
NL,emissierecht
PL,uprawnienie do emisji
PT,licença de emissão
RO,certificat de emisii
SK,emisná kvóta
SL,pravica do emisije
CS,jednotka snížení emisí
DA,emissionsreduktionsenhed
DE,Emissionsreduktionseinheit
EL,μονάδα μείωσης των εκπομπών
ES,unidad de reducción de emisiones
ET,heitkoguste vähendamise ühik
FI,päästövähennysyksikkö
FR,unité de réduction des émissions
GA,aonad an laghdaithe ar astaíochtaí
HU,kibocsátáscsökkentési egység
LT,išmetamųjų teršalų mažinimo vienetas
LV,emisijas samazināšanas vienība
MT,unità ta’ tnaqqis tal-emissjonijiet
NL,emissiereductie-eenheid
PL,jednostka redukcji emisji
PT,unidade de redução de emissões
RO,unitate de reducere a emisiilor
SK,jednotka zníženia emisií
SL,enota zmanjšanja emisij
CS,snížení emisí
DA,emissionsreduktion
DE,Emissionsminderung Emissionsreduktion
EL,μείωση των εκπομπών
ES,reducción de emisiones
ET,heitkoguste vähendamine
FI,päästövähennys
FR,réduction des émissions
GA,laghdú ar astaíochtaí
HU,kibocsátáscsökkentés EN emissions reduction emissions abatement Reduction in emissions
LT,išmetamųjų teršalų mažinimas
LV,emisiju samazināšana
MT,tnaqqis tal-emissjonijiet
NL,emissiereductie
PL,redukcja emisji
PT,redução das emissões
RO,reducere a emisiilor
SK,znižovanie emisií
SL,zmanjšanje emisij
CS,obchodování s emisemi
DA,emissionshandel
DE,Emissionszertifikatehandel
EL,εμπορία δικαιωμάτων εκπομπών
ES,comercio de derechos de emisión
ET,heitkogustega kauplemine
FI,päästökauppa
FR,échange de droits d’émission
GA,trádáil astaíochtaí
HU,kibocsátáskereskedelem
LT,prekyba apyvartiniais taršos leidimais
LV,emisiju tirdzniecība
MT,skambju ta’ kwoti tal-emissjonijiet
NL,emissiehandel
PL,handel uprawnieniami do emisji
PT,comércio de emissões comércio de licenças de emissão
RO,comercializare a certificatelor de emisii
SK,obchodovanie s emisiami
SL,trgovanje z emisijami
CS,systém EU pro obchodování s emisemi
DA,EU’s emissionshandelssystem
DE,Emissionshandelssystem der EU
EL,σύστημα εμπορίας εκπομπών ΕΕ
ES,régimen de comercio de derechos de emisión de la Unión Europea
ET,ELi heitkogustega kauplemise süsteem
FI,EU:n päästökauppajärjestelmä
FR,système d’échange de quotas d’émission de gaz à effet de serre de l’UE
GA,Scéim an AE maidir le Trádáil Astaíochtaí
IT,sistema di scambio di quote di emissione dell’UE
LT,ES apyvartinių taršos leidimų prekybos sistema
LV,ES emisiju kvotu tirdzniecības sistēma
MT,skema tal-UE għall-iskambju ta’ kwoti tal-emissjonijiet
NL,EU-regeling voor de emissiehandel
PL,unijny system handlu uprawnieniami do emisji
PT,Regime de Comércio de Emissões da UE Regime de Comércio de Licenças de Emissão da UE
RO,schema UE de comercializare a certificatelor de emisii
SK,systém EÚ na obchodovanie s emisiami
SL,sistem EU za trgovanje z emisijami
CS,Zelený fond pro změnu klimatu
DA,Den Grønne Klimafond
DE,Globaler Klimaschutzfonds
EL,Πράσινο ταμείο για το κλίμα
ES,Fondo Verde para el Clima
ET,Roheline Kliimafond
FI,vihreä ilmastorahasto
FR,Fonds vert pour le climat
GA,an Ciste Glas don Aeráid
HU,Éghajlat-változási Alap
LT,Ekologinis klimato fondas
LV,Klimata pārmaiņu mazināšanas fonds
MT,Fond ekoloġiku għall-klima
NL,Groen Klimaatfonds
PL,ekofundusz klimatyczny
PT,Fundo Verde para o Clima
RO,Fondul verde pentru climă
SK,Zelený klimatický fond
SL,Zeleni podnebni sklad
CS,skleníkový plyn
DA,drivhusgas
DE,Treibhausgas
EL,αέριο του θερμοκηπίου
ES,gas de efecto invernadero
ET,kasvuhoonegaas
FI,kasvihuonekaasu
FR,gaz à effet de serre
GA,gás ceaptha teasa
HU,üvegházhatást okozó gáz
LT,šiltnamio efektą sukeliančios dujos
LV,siltumnīcefekta gāze
MT,gass serra
NL,broeikasgas
PL,gaz cieplarniany
PT,gás com efeito de estufa
